place,year,scale
Fukushima – Giappone,2011,7
Onagawa – Giappone,2011,4
Fleurus – Belgio,2006,2
Forsmark – Svezia,2006,2
Erwin – USA,2006,3
Sellafield – UK,2005,2
Atucha – Argentina,2005,1
Braidwood – USA,2005,1
Paks – Ungheria,2003,4
Tokaimura – Giappone,1999,3
Yanangio – Peru,1999,3
Ikitelli – Turchia,1999,2
Ishikawa – Giappone,1999,4
Tomsk – Russia,1993,2
Cadarache – Francia,1993,3
Vandellos – Spagna,1989,1
Greifswald – Germania,1989,7
Chernobyl – URSS,1986,1
Hamm-Uentrop – Germania,1986,2
Tsuraga – Giappone,1981,4
Saint Laurent des Eaux – Francia,1980,5
Three Mile Island – USA,1979,4
Jaslovské Bohunice – Cecoslovacchia,1974,1
Lucens – Svizzera,1969,1
Chapelcross – UK,1967,1
Monroe – USA,1966,1
Charlestown – USA,1964,1
S.Susana Field Laboratory – USA,1959,1
Vina – Jugoslavia,1958,1
Kyshtym – URSS,1957,6
Windscale Pile – UK,1957,5
Chalk River – Canada,1952,5
